sample_names	cell_lines	timepoints	treatment
L0A	LNCaP	0	untreated
L0B	LNCaP	0	untreated
L0C	LNCaP	0	untreated
L24A	LNCaP	24	treated
L24B	LNCaP	24	treated
L24C	LNCaP	24	treated
V0A	VCaP	0	untreated
V0B	VCaP	0	untreated
V0C	VCaP	0	untreated
V24A	VCaP	24	treated
V24B	VCaP	24	treated
V24C	VCaP	24	treated
P0A	PC3-AR	0	untreated
P0B	PC3-AR	0	untreated
P0C	PC3-AR	0	untreated
P6A	PC3-AR	6	treated
P6B	PC3-AR	6	treated
P6C	PC3-AR	6	treated
P12A	PC3-AR	12	treated
P12B	PC3-AR	12	treated
P12C	PC3-AR	12	treated
